ДЮК II	Arc5	15	10	20
САРМАТ	Arc4	15	10	20
EDUARD TOLL	Arc7	15	10	20
GEORGIY USHAKOV	Arc7	15	10	20
RUDOLF SAMOYLOVICH	Arc7	15	10	20
VLADIMIR VORONIN	Arc7	15	10	20
NIKOLAY YEVGENOV	Arc7	14	10	20
CHRISTOPHE DE MARGERIE	Arc7	14	10	20
BORIS VILKITSKY	Arc7	19	10	20
АРКТИКА-2	Arc5	19	10	20
ИНЖЕНЕР ВЕШНЯКОВ	Arc5	19	10	20
ТАМБЕЙ	Arc4	19	10	20
ШТУРМАН АЛЬБАНОВ	Arc7	19	10	20
НИКИФОР БЕГИЧЕВ	Arc4	16	10	20
НОРИЛЬСКИЙ НИКЕЛЬ	Arc7	14	10	20
АЙС ИГЛ	Arc5	14	10	20
ШТУРМАН КОШЕЛЕВ	Arc7	15	10	20
ШТУРМАН ЩЕРБИНИН	Arc7	15	10	20
ШТУРМАН СКУРАТОВ	Arc7	15	10	20
ИОГАНН МАХМАСТАЛЬ	Arc5	14	10	20
BORIS SOKOLOV	Arc7	14	10	20
ИНЖЕНЕР ТРУБИН	Arc5	12	10	20
БАРЕНЦ	Arc4	16	10	20
ПОЛАР КИНГ	Arc5	16	10	20
МЫС ДЕЖНЕВА	Arc4	16	10	20
СЕВМОРПУТЬ	Arc5	14	10	20
ГРИГОРИЙ ШЕЛИХОВ	Arc4	14	10	20
УРАРТУ	Arc4	18	10	20
ФЕСКО ПАРИС	Arc4	18	10	20
ПРОГРЕСС	Arc4	18	10	20
МИХАИЛ БРИТНЕВ	Arc4	18	10	20
САБЕТТА	Arc4	16	10	20
ГЕОРГИЙ УШАКОВ	Arc4	16	10	20
СЕВЕРНЫЙ ПРОЕКТ	Arc4	16	10	20
НИКОЛАЙ ЧУДОТВОРЕЦ	NotAssigned	16	10	20
БЕРИНГ	Arc4	16	10	20
ТОЛБУХИН	Arc4	16	10	20
ЯМАЛ КРЕЧЕТ	Arc4	16	10	20
CLEAN VISION	Arc4	14	10	20
YAMAL SPIRIT	NotAssigned	14	10	20
ТИКСИ	Arc4	16	10	20
ТАЙБОЛА	Arc4	16	10	20
50 лет Победы	Arc91	22	10	20
Ямал	Arc91	21	10	20
Таймыр	Arc92	18.5	10	20
Вайгач	Arc92	18.5	10	20
