0,"[21.0, 64.5555]","[22.0, 64.5471]","[22.0, 64.7609]","[22.0, 64.7693]",0.0,64.5555,21
1,"[22.0, 64.5471]","[22.0, 64.5369]","[23.0, 64.7506]","[22.0, 64.7609]",0.0,64.5471,22
2,"[22.0, 64.5369]","[23.0, 64.5248]","[23.0, 64.7384]","[23.0, 64.7506]",0.0,64.5369,22
3,"[23.0, 64.5109]","[24.0, 64.4951]","[24.0, 64.7084]","[24.0, 64.7243]",0.0,64.5109,23
4,"[21.0, 64.7759]","[22.0, 64.7693]","[22.0, 64.9834]","[21.0, 64.99]",0.0,64.7759,21
5,"[22.0, 64.7693]","[22.0, 64.7609]","[22.0, 64.9749]","[22.0, 64.9834]",0.0,64.7693,22
6,"[22.0, 64.7609]","[23.0, 64.7506]","[23.0, 64.9645]","[22.0, 64.9749]",0.0,64.7609,22
7,"[23.0, 64.7506]","[23.0, 64.7384]","[23.0, 64.9522]","[23.0, 64.9645]",0.0,64.7506,23
8,"[23.0, 64.7384]","[24.0, 64.7243]","[24.0, 64.938]","[23.0, 64.9522]",0.0,64.7384,23
9,"[24.0, 64.7243]","[24.0, 64.7084]","[24.0, 64.9219]","[24.0, 64.938]",0.0,64.7243,24
10,"[24.0, 64.7084]","[25.0, 64.6907]","[25.0, 64.904]","[24.0, 64.9219]",0.0,64.7084,24
11,"[21.0, 64.99]","[22.0, 64.9834]","[22.0, 65.1976]","[21.0, 65.2043]",0.0,64.99,21
12,"[22.0, 64.9834]","[22.0, 64.9749]","[22.0, 65.189]","[22.0, 65.1976]",0.0,64.9834,22
13,"[22.0, 64.9749]","[23.0, 64.9645]","[23.0, 65.1785]","[22.0, 65.189]",0.0,64.9749,22
14,"[23.0, 64.9645]","[23.0, 64.9522]","[23.0, 65.1661]","[23.0, 65.1785]",0.0,64.9645,23
15,"[23.0, 64.9522]","[24.0, 64.938]","[24.0, 65.1518]","[23.0, 65.1661]",0.0,64.9522,23
16,"[24.0, 64.938]","[24.0, 64.9219]","[24.0, 65.1355]","[24.0, 65.1518]",0.0,64.938,24
17,"[24.0, 64.9219]","[25.0, 64.904]","[25.0, 65.1174]","[24.0, 65.1355]",0.0,64.9219,24
18,"[25.0, 64.904]","[25.0, 64.8841]","[25.0, 65.0974]","[25.0, 65.1174]",0.0,64.904,25
19,"[37.0, 63.8022]","[38.0, 63.7366]","[38.0, 63.9393]","[37.0, 64.0054]",0.0,63.8022,37
